Datum,Tid (UTC),Snödjup,Kvalitet
2014-01-01,06:00:00,0.0,G
2014-01-02,06:00:00,0.0,G
2014-01-03,06:00:00,0.0,G
2014-01-04,06:00:00,0.0,G
2014-01-05,06:00:00,0.0,G
2014-01-06,06:00:00,0.0,G
2014-01-07,06:00:00,0.0,G
2014-01-08,06:00:00,0.0,G
2014-01-09,06:00:00,0.0,G
2014-01-10,06:00:00,0.0,G
2014-01-11,06:00:00,0.02,G
2014-01-12,06:00:00,0.04,G
2014-01-13,06:00:00,0.05,G
2014-01-14,06:00:00,0.05,G
2014-01-15,06:00:00,0.06,G
2014-01-16,06:00:00,0.11,G
2014-01-17,06:00:00,0.11,G
2014-01-18,06:00:00,0.1,G
2014-01-19,06:00:00,0.1,G
2014-01-20,06:00:00,0.1,G
2014-01-21,06:00:00,0.1,G
2014-01-22,06:00:00,0.1,G
2014-01-23,06:00:00,0.1,G
2014-01-24,06:00:00,0.1,G
2014-01-25,06:00:00,0.1,G
2014-01-26,06:00:00,0.09,G
2014-01-27,06:00:00,0.1,G
2014-01-28,06:00:00,0.24,G
2014-01-29,06:00:00,0.24,G
2014-01-30,06:00:00,0.25,G
2014-01-31,06:00:00,0.24,G
2014-02-01,06:00:00,0.28,G
2014-02-02,06:00:00,0.24,G
2014-02-03,06:00:00,0.21,G
2014-02-04,06:00:00,0.18,G
2014-02-05,06:00:00,0.17,G
2014-02-06,06:00:00,0.16,G
2014-02-07,06:00:00,0.16,G
2014-02-08,06:00:00,0.12,G
2014-02-09,06:00:00,0.09,G
2014-02-10,06:00:00,0.0,G
2014-02-11,06:00:00,0.0,G
2014-02-12,06:00:00,0.0,G
2014-02-14,06:00:00,0.0,G
2014-02-15,06:00:00,0.0,G
2014-02-16,06:00:00,0.0,G
2014-02-17,06:00:00,0.0,G
2014-02-18,06:00:00,0.0,G
2014-02-19,06:00:00,0.0,G
2014-02-20,06:00:00,0.06,G
2014-02-21,06:00:00,0.09,G
2014-02-22,06:00:00,0.04,G
2014-02-23,06:00:00,0.0,G
2014-02-24,06:00:00,0.0,G
2014-02-25,06:00:00,0.0,G
2014-02-26,06:00:00,0.0,G
2014-02-27,06:00:00,0.0,G
2014-02-28,06:00:00,0.0,G
2014-03-01,06:00:00,0.0,G
2014-03-02,06:00:00,0.0,G
2014-03-03,06:00:00,0.02,G
2014-03-04,06:00:00,0.0,G
2014-03-05,06:00:00,0.0,G
2014-03-06,06:00:00,0.0,G
2014-03-07,06:00:00,0.0,G
2014-03-08,06:00:00,0.0,G
2014-03-09,06:00:00,0.0,G
2014-03-10,06:00:00,0.0,G
2014-03-11,06:00:00,0.0,G
2014-03-12,06:00:00,0.0,G
2014-03-13,06:00:00,0.0,G
2014-03-14,06:00:00,0.0,G
2014-03-15,06:00:00,0.0,G
2014-03-16,06:00:00,0.0,G
2014-03-17,06:00:00,0.02,G
2014-03-18,06:00:00,0.0,G
2014-03-19,06:00:00,0.0,G
2014-03-20,06:00:00,0.01,G
2014-03-21,06:00:00,0.0,G
2014-03-22,06:00:00,0.0,G
2014-03-23,06:00:00,0.0,G
